Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Wnt interactions in lipid metabolism and immune response	1/45	0.9977742206998345	1.0	0	0	0.1752541184717841	3.905117470437588E-4	PEPD
Amino sugar and nucleotide sugar metabolism	1/45	0.9977742206998345	1.0	0	0	0.1752541184717841	3.905117470437588E-4	GALT
Polo-like kinase 1 (PLK1) pathway	1/46	0.9980567386758362	1.0	0	0	0.17144424633109312	3.334851025426901E-4	NUDC
Lipid digestion, mobilization, and transport	1/48	0.9985186495827021	1.0	0	0	0.1643007360672976	2.4356741285334313E-4	LIPC
Activation of chaperones by IRE1 alpha	1/48	0.9985186495827021	1.0	0	0	0.1643007360672976	2.4356741285334313E-4	SERP1
Glycerolipid metabolism	1/49	0.9987065811872468	1.0	0	0	0.16094765982102618	2.0830747454348385E-4	LIPC
Malaria	1/51	0.9990138332673824	1.0	0	0	0.1546359868868683	1.52572109073589E-4	HBD
Glutathione metabolism	1/51	0.9990138332673824	1.0	0	0	0.1546359868868683	1.52572109073589E-4	GPX1
Signaling events mediated by PTP1B	1/52	0.9991388354430665	1.0	0	0	0.1516622179082747	1.306623956790392E-4	CSN2
Vitamin B12 metabolism	1/52	0.9991388354430665	1.0	0	0	0.1516622179082747	1.306623956790392E-4	CRP
Mitochondrial protein import	1/52	0.9991388354430665	1.0	0	0	0.1516622179082747	1.306623956790392E-4	LDHD
Pyruvate metabolism	1/52	0.9991388354430665	1.0	0	0	0.1516622179082747	1.306623956790392E-4	LDHD
Amyotrophic lateral sclerosis (ALS)	1/53	0.9992479498128658	1.0	0	0	0.1488006666269865	1.1194766959371305E-4	GPX1
Arachidonic acid metabolism	1/58	0.9996175310223182	1.0	0	0	0.13597302295224628	5.201541085555556E-5	GPX1
Selenium pathway	1/60	0.9997079096430351	1.0	0	0	0.13144058885383808	3.839813665375148E-5	CRP
Clathrin derived vesicle budding	1/61	0.999744673358038	1.0	0	0	0.12928582510213582	3.301433047506618E-5	NAPA
Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins	2/81	0.9997840929273724	1.0	0	0	0.1947267983019823	4.204743231590299E-5	SDHA;SDHB
Folate metabolism	1/63	0.9998047663413999	1.0	0	0	0.12518151319413148	2.4442030841180864E-5	CRP
Nucleotide metabolism	1/70	0.9999227584368559	1.0	0	0	0.11266336187471834	8.702630286988492E-6	GPX1
Interleukin-6 signaling pathway	1/71	0.9999321812373956	1.0	0	0	0.11107655396098992	7.533329897441025E-6	CRP
Glycolysis and gluconeogenesis	1/75	0.9999592992636223	1.0	0	0	0.10515247108307046	4.279870102543321E-6	GALM
Complement cascade	1/77	0.9999682208488168	1.0	0	0	0.10242123806792577	3.2549117283753374E-6	CRP
Mitochondrial pathway of apoptosis: caspases	1/77	0.9999682208488168	1.0	0	0	0.10242123806792577	3.2549117283753374E-6	NAIP
Unfolded protein response	1/79	0.9999750095377107	1.0	0	0	0.09982829533202892	2.494786422965064E-6	SERP1
Regular glucocorticoid receptor pathway	1/82	0.9999822714850624	1.0	0	0	0.09617604062475957	1.7050734871144346E-6	CSN2
Electron transport chain	2/105	0.999986145211804	1.0	0	0	0.15021781583295782	2.0812504393132474E-6	SDHA;SDHB
NOD signaling pathway	1/85	0.9999870848372513	1.0	0	0	0.09278159213212099	1.1982971005880629E-6	NAIP
Metabolism	11/1615	0.9999922466699629	1.0	0	0	0.053715658602806894	4.164768438514786E-7	COQ3;GALT;LIPC;GPX1;AMT;SDHA;LIAS;INHA;SDHB;XYLB;COQ5
Signal transduction	1/1020	0.9999930352876686	1.0	0	0	0.007731799344343416	5.384994576247767E-8	CSN2
Immune system	1/998	0.9999930721856074	1.0	0	0	0.007902239810851988	5.4745440328731455E-8	CRP
Interleukin-2 signaling pathway	1/847	0.9999933485900462	1.0	0	0	0.009311021642538705	6.193162799994205E-8	ADD2
Signaling by ERBB4	1/93	0.9999933617713166	1.0	0	0	0.08480037990570198	5.629261826724273E-7	CSN2
Disease	1/674	0.9999937268644724	1.0	0	0	0.011700942627938107	7.340182913566536E-8	SERP1
T cell receptor regulation of apoptosis	1/603	0.9999939084114328	1.0	0	0	0.013078665557595829	7.967009224431648E-8	NAIP
TGF-beta regulation of extracellular matrix	1/565	0.9999940136086699	1.0	0	0	0.01395829262164652	8.356005204495842E-8	NAIP
Tricarboxylic acid (TCA) cycle and respiratory electron transport	2/117	0.9999940861658001	1.0	0	0	0.13481086036291084	7.972514339408309E-7	SDHA;SDHB
Lipid and lipoprotein metabolism	1/489	0.9999942444182243	1.0	0	0	0.01612767961396786	9.28244460006454E-8	LIPC
Hemostasis pathway	1/468	0.9999943139069736	1.0	0	0	0.016851357545363856	9.581865904164436E-8	HBD
Cell cycle	1/453	0.9999943653079207	1.0	0	0	0.017409349517064646	9.809660020118978E-8	NUDC
Protein metabolism	1/442	0.9999944038603165	1.0	0	0	0.01784261387156173	9.985003893235528E-8	LDHD
M phase pathway	1/96	0.9999944082236061	1.0	0	0	0.0821503680336488	4.593677730645794E-7	NUDC
Innate immune system	1/319	0.9999949044989616	1.0	0	0	0.024722367809499324	1.2597317179457172E-7	CRP
Oncostatin M	1/311	0.9999949425655889	1.0	0	0	0.025358312962155256	1.2824832888751127E-7	CRP
Carbohydrate metabolism	1/235	0.9999953544069097	1.0	0	0	0.033559299281831	1.5590321099152354E-7	GALT
DNA replication	1/207	0.9999955354629392	1.0	0	0	0.038098721406909584	1.7009353338580695E-7	NUDC
Amino acid metabolism	1/195	0.9999956195297273	1.0	0	0	0.04044325810887325	1.7716087790275889E-7	INHA
Huntington's disease	3/184	0.9999956954883179	1.0	0	0	0.12858318474831984	5.534890121210794E-7	GPX1;SDHA;SDHB
Parkinson's disease	2/131	0.9999957939053002	1.0	0	0	0.12040359284321044	5.064299787362141E-7	SDHA;SDHB
Alzheimer's disease	2/169	0.9999958152578592	1.0	0	0	0.09333059563586135	3.905652937925128E-7	SDHA;SDHB
Purine metabolism	1/164	0.9999958587533591	1.0	0	0	0.048088020312379784	1.9914476494231832E-7	GPX1
Oxidative phosphorylation	2/136	0.9999959187908577	1.0	0	0	0.11597699016515124	4.73327318433428E-7	SDHA;SDHB
Leptin influence on immune response	1/110	0.9999960676071649	1.0	0	0	0.07169486664754804	2.819329342568506E-7	CRP
p53 signaling pathway	1/139	0.9999960754606524	1.0	0	0	0.056736944828994856	2.2266680937721595E-7	GPX1
Diabetes pathways	1/137	0.9999960927059729	1.0	0	0	0.05756522139584149	2.2492468515271176E-7	SERP1
TNF-alpha effects on cytokine activity, cell motility, and apoptosis	1/135	0.9999961096910706	1.0	0	0	0.0584180394905947	2.2726466273603135E-7	GPX1
Membrane trafficking	1/133	0.99999612606098	1.0	0	0	0.059296506249851756	2.2971149425637004E-7	NAPA
Factors involved in megakaryocyte development and platelet production	1/125	0.9999961801252125	1.0	0	0	0.06309148264984228	2.410020241779791E-7	HBD
