genome.genome_id	genome.genome_name	genome.genome_quality	genome.genome_status	genome.patric_cds	genome.genome_length	genome.checkm_completeness	genome.checkm_contamination	genome.contigs	genome.contig_n50	genome.contig_l50	genome.coarse_consistency	genome.fine_consistency
1307.1807	Streptococcus suis strain 2873	Good	WGS	2619	2329500	99.2	8.3	463	82568	11	99.7	96.3
1335.15	Streptococcus equinus strain GA-1	Good	WGS	1742	1799853	99	1.9	11	1010891	1	99.6	98.9
1214172.3	Streptococcus suis 89-4109-1	Good	WGS	2126	2176728	97.6	1.6	76	64745	11	99.2	98.8
1311.308	Streptococcus agalactiae strain IT-NI-018	Good	WGS	2169	2114109	100	2.1	34	94189	7	99.7	98.5
1335.4	Streptococcus equinus strain HC5	Good	WGS	1764	1846241	99	1.9	8	669455	2	99.3	98.4
1307.1822	Streptococcus suis strain 2261	Good	WGS	2176	2169392	100	2.3	73	59899	10	99.7	99.3
1343.3	Streptococcus vestibularis strain 1005_STHE	Good	WGS	2067	2012516	99.5	2.1	137	57690	13	99.5	98.8
1310.8	Streptococcus sobrinus strain NIDR 6715-15	Good	Complete	2154	2144746	98.8	1.9	1	2144746	1	99.2	98.5
1302.24	Streptococcus gordonii strain Blackburn	Good	WGS	2114	2164498	99.3	2.2	50	158790	4	100	99.4
1156433.3	Streptococcus sp. I-P16	Good	Complete	1950	2023580	97.9	1.7	1	2023580	1	98.7	98.3
1304.379	Streptococcus salivarius strain AF23-9AC	Good	WGS	2074	2128339	99.8	2.3	51	141956	5	99.7	99.3
195041.5	Streptococcus oligofermentans strain 1003_SOLI	Good	WGS	1999	2095569	95.8	1.2	144	63957	12	98	97.8
862967.15	Streptococcus intermedius B196 strain G1565	Good	WGS	2015	1972424	97.4	1.9	17	310637	3	99.9	99.5
1608583.3	Streptococcus sp. FF10	Good	WGS	2536	2460376	95.8	1.2	16	512440	3	98.4	97.6
1715134.3	Streptococcus sp. HMSC066F01	Good	WGS	1997	1958325	99.8	2.4	59	478052	2	99.6	99
1207545.3	Streptococcus parauberis KRS-02083	Good	WGS	2253	2176236	99	2.1	12	533423	2	99.1	98.3
400065.3	Streptococcus merionis strain NCTC13788	Good	Complete	2297	2384128	96	1.5	1	2384128	1	99.1	98.3
1123315.3	Streptococcus porci DSM 23759	Good	WGS	2304	2289031	96.9	1.7	37	113120	7	98.7	98.1
1207544.3	Streptococcus parauberis KRS-02109	Good	WGS	2041	2046538	99	2.1	5	1167028	1	99	98
195041.6	Streptococcus oligofermentans strain 1015_SOLI	Good	WGS	2059	2019516	95.6	1.4	105	51432	14	98.3	97.9
889206.3	Streptococcus vestibularis ATCC 49124	Good	WGS	1807	1872773	99	2.2	21	1744094	1	99.2	98.3
873447.3	Streptococcus parauberis NCFD 2020	Good	WGS	2144	2164480	99.3	2.3	1	2164480	1	99.1	98.3
1313.9424	Streptococcus pneumoniae strain 09	Good	WGS	2188	1995770	100	2.7	64	86298	7	100	99.4
1074494.5	Streptococcus salivarius M18	Good	WGS	2093	2325981	99.8	2.6	6	1300035	1	99.6	98.9
1074082.3	Streptococcus sobrinus TCI-374	Good	WGS	1924	2085051	94.5	1.2	486	7779	83	97.7	97.1
1348.10	Streptococcus parauberis strain RP25	Good	WGS	2116	2031135	99.3	2.5	12	382616	3	99.4	98.4
1304.245	Streptococcus salivarius strain ATCC 27945	Good	Complete	1911	2108274	99.8	2.8	1	2108274	1	99.8	99.2
1074066.3	Streptococcus sobrinus TCI-107	Good	WGS	2007	2136893	95	1.5	283	13689	50	98.1	97.6
315405.28	Streptococcus gallolyticus strain BI02	Good	WGS	2385	2184549	99.3	2.6	121	34542	20	99.3	98.7
257758.11	Streptococcus pseudopneumoniae strain 1213_SPSE	Good	WGS	2090	2024246	100	2.8	205	34930	17	99.9	98.9
1123314.3	Streptococcus plurextorum DSM 22810	Good	WGS	2107	2100658	94.8	1.7	36	136776	5	99	98.6
1074086.3	Streptococcus sobrinus TCI-384	Good	WGS	2015	2125481	94.8	1.5	196	21527	31	98.1	97.6
1348.9	Streptococcus parauberis strain RP17	Good	WGS	2107	2016416	99.3	2.6	12	379184	3	99.4	98.4
1313.6330	Streptococcus pneumoniae strain 0212	Good	WGS	2323	2159257	99.4	2.6	103	40537	15	99.4	98.2
1739371.3	Streptococcus sp. HMSC064H09	Good	WGS	2205	2243564	99.8	3	80	105692	7	99.7	99.3
1074067.3	Streptococcus sobrinus TCI-119	Good	WGS	1949	2083613	95.3	1.7	398	10155	65	98	97.3
883168.3	Streptococcus urinalis FB127-CNA-2	Good	WGS	2213	2127389	97.6	2.4	10	283669	2	99.2	98.4
1313.15897	Streptococcus pneumoniae strain UoS5181	Good	WGS	2145	2025442	100	2.9	66	56080	12	99.4	98.3
1321372.3	Streptococcus suis EA1832.92	Good	WGS	1890	1986332	91.4	1.3	89	35588	18	99.1	98.8
1308.500	Streptococcus thermophilus strain ACA-DC 2	Good	Complete	1962	1731838	99	3	1	1731838	1	99.9	99.5
1074076.3	Streptococcus sobrinus TCI-355	Good	WGS	1966	2070349	96.8	2.2	227	18228	36	98.3	97.8
1334.8	Streptococcus dysgalactiae strain 970_SDYS	Good	WGS	1757	1762993	92.8	1.9	43	105726	6	99.9	99.8
1975706.3	Streptococcus sp. FDAARGOS_256	Good	WGS	1961	1995164	100	3.3	2	1981934	1	99.7	99.5
1123305.3	Streptococcus hyovaginalis DSM 12219	Good	WGS	2069	2077809	97.9	2.6	37	176459	5	98.9	98.2
1304.240	Streptococcus salivarius strain FDAARGOS_259	Good	Complete	2142	2259227	99.8	3.2	1	2259227	1	99.7	98.9
1074074.3	Streptococcus sobrinus TCI-352	Good	WGS	1953	2074680	93.3	1.5	353	10086	61	97.6	96.9
1307.1871	Streptococcus suis strain 1215	Good	WGS	2499	2286614	100	3.1	380	48468	16	99.6	97.8
1313.9425	Streptococcus pneumoniae strain 3298	Good	WGS	2193	1997306	100	3.5	76	78042	8	100	99.1
1074071.4	Streptococcus sobrinus TCI-345	Good	WGS	2083	2217583	95.7	2.4	456	10645	64	98.3	97.4
1080071.3	Streptococcus orisasini strain SH06 = JCM 17305	Good	WGS	2253	2299160	98.6	3.2	67	64259	12	99.4	98.1
2173853.3	Streptococcus sp. Z15	Good	WGS	2541	2385174	97	2.9	102	84020	9	99	98
1074069.3	Streptococcus sobrinus TCI-124	Good	WGS	1979	2076686	95.1	2.4	255	17052	40	98.2	97.4
1333567.3	Streptococcus agalactiae MC621	Good	WGS	2068	2054083	100	3.8	45	140499	6	99.6	99
1739299.3	Streptococcus sp. HMSC056C01	Good	WGS	2080	2070036	99.8	3.8	44	184295	5	99.7	99.1
1307.1866	Streptococcus suis strain 1267	Good	WGS	2235	2196845	100	3.8	137	88234	9	99.3	98.7
1074053.3	Streptococcus sobrinus TCI-13	Good	WGS	1937	2053482	93.1	2	292	14084	43	97	96.5
315405.29	Streptococcus gallolyticus strain AM24-4	Good	WGS	2314	2159822	99.5	3.7	20	499467	2	99	98.2
197614.10	Streptococcus pasteurianus strain AF13-35	Good	WGS	2405	2288394	99.5	3.7	54	120758	7	99	98.1
1157946.4	Streptococcus salivarius PS4	Good	WGS	1899	2051527	99.3	3.7	56	75553	9	99.1	98.2
904294.3	Streptococcus sp. oral taxon 056 str. F0418	Good	WGS	1972	1943250	98.5	3.5	1	1943250	1	98.9	98
1074078.3	Streptococcus sobrinus TCI-363	Good	WGS	2016	2130636	95.3	2.9	356	10991	62	97.9	97.2
1302.83	Streptococcus gordonii strain FDAARGOS_257	Good	Complete	2265	2222466	99.5	4	1	2222466	1	99.9	98.3
1035184.5	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377	Good	WGS	2106	1950566	97.6	3.6	66	143311	6	99.7	98.2
1308.312	Streptococcus thermophilus strain B59671	Good	Complete	2101	1821173	99	4.1	1	1821173	1	99.9	99.2
1123318.3	Streptococcus thoraltensis DSM 12221	Good	WGS	2256	2383584	97	3.4	52	144251	6	98.8	97.6
1814128.3	Streptococcus sp. HTS9	Good	Complete	2071	2182100	96.8	3.6	1	2182100	1	99	98.2
1311.1349	Streptococcus agalactiae strain FDAARGOS_254	Good	Complete	2308	2218541	98.7	4.2	1	2218541	1	99.9	99
1074054.3	Streptococcus sobrinus TCI-16	Good	WGS	1928	2064151	91.6	2.3	455	8273	74	96.8	96.3
1313.6814	Streptococcus pneumoniae strain 34	Good	WGS	2299	2099887	99.7	1	81	67626	11	99.8	98.7
1715051.3	Streptococcus sp. HMSC068F04	Good	WGS	2068	2179910	99.8	1.2	90	54924	14	99.9	99.4
1346.39	Streptococcus iniae strain 89353	Good	Complete	2019	2098647	98.8	1	1	2098647	1	99.6	99.3
1313.5438	Streptococcus pneumoniae strain 0409	Good	WGS	2290	2145044	100	1.2	106	47718	14	99.6	99.1
1715209.3	Streptococcus sp. HMSC034F02	Good	WGS	2270	2102096	98.6	0.9	87	87829	7	99.5	99
910313.3	Streptococcus pseudoporcinus SPIN 20026	Good	WGS	2045	2111372	97.9	0.6	35	143226	6	98.7	98.2
1318.29	Streptococcus parasanguinis strain POW10	Good	WGS	1977	2042421	99	1	117	30074	22	99.2	99
1318.19	Streptococcus parasanguinis strain 512_SPAR	Good	WGS	2097	2121511	99	1	54	70683	11	99.3	99
1335.42	Streptococcus equinus strain AR3	Good	WGS	2012	2021307	99	1	16	605215	2	99.6	99
1313.6824	Streptococcus pneumoniae strain 23F	Good	WGS	2359	2143759	100	1.1	179	33928	17	99.4	98.5
1304.177	Streptococcus salivarius strain 140_SSAL	Good	WGS	2201	2262337	99.8	1.2	166	41436	17	99.8	99.1
1715113.3	Streptococcus sp. HMSC034B03	Good	WGS	1989	1916995	97.9	0.8	23	314029	3	99.6	99
1715122.3	Streptococcus sp. HMSC034B04	Good	WGS	2272	2107560	98.6	0.9	87	97101	8	99.5	98.8
888812.3	Streptococcus sanguinis SK160	Good	WGS	2248	2326340	99.4	1.2	15	304538	3	99.4	99.3
1318.9	Streptococcus parasanguinis strain 139.rep2_SPAR	Good	WGS	2251	2268674	99	1	114	32199	21	99.2	98.7
1305.18	Streptococcus sanguinis strain FSS9	Good	WGS	2422	2429261	99.8	1.4	20	356680	3	100	99.8
45634.10	Streptococcus cristatus strain CC5A	Good	WGS	1999	2026543	99.3	1.2	7	554931	2	99.9	99.3
1715164.3	Streptococcus sp. HMSC074F05	Good	WGS	2066	2093215	98.9	1	21	1327792	1	99	98.7
869312.3	Streptococcus pneumoniae SPN033038	Good	Complete	2420	2133496	100	1.2	1	2133496	1	99.5	98.5
1313.5848	Streptococcus pneumoniae strain 0216	Good	WGS	2276	2119985	99.4	1.2	96	39359	20	99.4	99
1313.6781	Streptococcus pneumoniae strain 0407	Good	WGS	2309	2159519	99.5	1.2	126	37987	19	99.3	98.9
888825.3	Streptococcus sanguinis VMC66	Good	WGS	2230	2319451	99.6	1.2	5	2312195	1	99	98.7
1304.213	Streptococcus salivarius strain ATCC 7073	Good	WGS	2025	2162983	99.8	1.4	18	296737	3	99.9	99.4
1313.6112	Streptococcus pneumoniae strain 0272	Good	WGS	2242	2128457	99.5	1.2	87	41432	17	99.3	98.7
936576.3	Streptococcus sp. ACS2	Good	WGS	1960	2128555	99.8	1.4	48	140174	6	99.6	99.3
1739491.3	Streptococcus sp. HMSC067H01	Good	WGS	2077	2052401	99.8	1.4	56	164140	4	99.8	99.3
1313.5873	Streptococcus pneumoniae strain 0279	Good	WGS	2266	2142411	99.4	1.2	85	41670	17	99.3	98.7
1715176.3	Streptococcus sp. HMSC064D12	Good	WGS	2036	2111233	99.8	1.4	71	131705	6	99.9	99.2
857138.3	Streptococcus mutans N29	Good	WGS	1896	1965509	100	1.4	110	52407	14	99.6	99
699248.4	Streptococcus ratti FA-1 = DSM 20564	Good	WGS	2100	2037184	98.6	1.1	182	23860	28	99.5	98.9
257758.12	Streptococcus pseudopneumoniae strain 126_SPSE	Good	WGS	2148	2087806	99.8	1.4	156	51605	12	99.7	99.1
1313.5475	Streptococcus pneumoniae strain 255210	Good	WGS	2362	2160291	99.5	1.3	206	39906	19	99.3	98.9
1313.6776	Streptococcus pneumoniae strain 0315	Good	WGS	2261	2132746	99.5	1.3	87	41652	16	99.3	98.9
1313.6405	Streptococcus pneumoniae strain 111_81	Good	WGS	2241	2108398	98.8	1.2	150	33849	20	99.6	99
862967.19	Streptococcus intermedius B196 strain G1562	Good	WGS	2032	2052377	97.4	1	21	219234	3	99.8	99.3
1304.173	Streptococcus salivarius strain NCTC 8618	Good	Complete	2015	2188923	99.5	1.4	1	2188923	1	99.7	99.2
1304.210	Streptococcus salivarius strain 40-02 S18	Good	WGS	2149	2295542	99.5	1.4	53	114127	7	99.6	99.2
862968.3	Streptococcus constellatus subsp. pharyngis C818	Good	Complete	2002	1935662	97.9	1	1	1935662	1	99.6	98.8
1313.16021	Streptococcus pneumoniae strain NCTC11888	Good	WGS	2393	2230670	100	1.4	5	1251075	1	99.6	98.6
1302.23	Streptococcus gordonii strain PV40	Good	WGS	2165	2190985	99.5	1.5	43	233745	4	100	99.5
1313.6783	Streptococcus pneumoniae strain 0178	Good	WGS	2257	2107661	98.4	1.2	111	39968	14	99.5	99.1
28037.94	Streptococcus mitis strain SK271	Good	WGS	1800	1944576	98.8	1.2	14	526837	2	99.3	98.6
1307.1825	Streptococcus suis strain 2256	Good	WGS	2160	2096121	96.1	0.8	107	73292	10	99.6	99.2
1307.1928	Streptococcus suis strain 2151	Good	WGS	2119	2190856	100	1.5	66	124303	6	99.5	98.8
1046629.4	Streptococcus salivarius 57.I	Good	Complete	1917	2138805	99.8	1.6	1	2138805	1	99.6	99.3
1739309.3	Streptococcus sp. HMSC034E03	Good	WGS	2157	2111510	99.8	1.6	97	84813	8	99.6	99.2
1348.4	Streptococcus parauberis strain N11	Good	WGS	2081	1999273	99.3	1.4	14	307812	3	99.4	98.7
1348.5	Streptococcus parauberis strain PL23	Good	WGS	2098	2020482	99.3	1.4	12	378195	3	99.4	98.7
1310.10	Streptococcus sobrinus strain NCTC12279	Good	Complete	2167	2198648	98.7	1.2	1	2198648	1	99	98.3
1123312.3	Streptococcus ovis DSM 16829	Good	WGS	2356	2358342	98.1	1	26	213136	5	98.6	97.9
1154833.3	Streptococcus agalactiae BSU108	Good	WGS	2094	2098717	100	1.7	24	221365	4	99.6	99.3
76860.10	Streptococcus constellatus strain KCOM 1039	Good	WGS	1913	1885802	97.9	1.3	2	1883587	1	99.7	99.3
525379.3	Streptococcus equinus ATCC 9812	Good	WGS	1708	1741734	99.3	1.4	20	1382815	1	99.1	98.4
1305.17	Streptococcus sanguinis strain FSS4	Good	WGS	2316	2312671	99.3	1.5	63	389092	2	99.4	98.8
1343.5	Streptococcus vestibularis strain 22-06 S6	Good	WGS	1909	1882671	99.5	1.5	7	1873061	1	99.3	98.6
1739397.3	Streptococcus sp. HMSC072C09	Good	WGS	2133	2132498	99	1.4	27	271236	3	99	98.6
150055.10	Streptococcus lutetiensis strain NCTC13774	Good	Complete	1823	1793521	99.8	1.6	1	1793521	1	99.6	98.7
1313.13979	Streptococcus pneumoniae strain C144.66	Good	WGS	2007	1879803	95.3	0.2	108	34931	18	96.7	96.4
873448.3	Streptococcus porcinus str. Jelinkova 176	Good	WGS	1956	2025881	97.9	1.2	1	2025881	1	99.2	98.6
862967.20	Streptococcus intermedius B196 strain G1554	Good	WGS	1872	1886668	97.4	1.2	38	162262	5	99.8	99
1123306.3	Streptococcus marimammalium DSM 18627	Good	WGS	1439	1502400	91.9	0	27	174286	4	98.6	98.5
999425.3	Streptococcus sp. F0442	Good	WGS	2156	2224000	99	1.4	13	389381	3	99	98.3
1313.13969	Streptococcus pneumoniae strain SPN_01	Good	WGS	2234	2029162	100	1.8	64	58384	13	99.6	98.9
1123317.4	Streptococcus sobrinus DSM 20742	Good	WGS	2037	2133594	97.7	1.2	54	65516	9	98.7	98.2
1888195.3	Streptococcus sp. HTS2	Good	Complete	2192	2275471	97.1	1.2	1	2275471	1	99.1	98.7
1304.189	Streptococcus salivarius strain 20-12 S2	Good	WGS	2004	2177169	99.8	1.9	4	1609938	1	99.9	99.3
1304.176	Streptococcus salivarius strain 1270_SSAL	Good	WGS	2108	2217529	99.8	1.9	115	55118	13	99.7	99.3
1123307.3	Streptococcus massiliensis DSM 18628	Good	WGS	1894	1862188	97.7	1.2	87	33859	16	98.9	98
1348.7	Streptococcus parauberis strain PL9	Good	WGS	2105	2012234	99.3	1.7	23	215435	4	99.4	98.7
1302.20	Streptococcus gordonii strain CCUG 33482	Good	WGS	2153	2166763	98.6	1.7	41	233538	3	99.9	99.3
388919.9	Streptococcus sanguinis SK36	Good	Complete	2263	2388435	99.8	2.1	1	2388435	1	100	100
1348.6	Streptococcus parauberis strain N198_2	Good	WGS	2027	1975829	99.3	1.7	14	1050540	1	99.4	98.6
1348.17	Streptococcus parauberis strain FSL R5-303	Good	WGS	2152	2080372	99.3	1.7	33	126959	5	99.3	98.6
1311.498	Streptococcus agalactiae strain 325662	Good	WGS	2096	2042705	100	2	18	142276	4	99.7	99.3
1304.204	Streptococcus salivarius strain 34-24 S10	Good	WGS	2198	2321251	99.8	1.9	87	74112	11	99.6	99
150055.14	Streptococcus lutetiensis strain AM25-7	Good	WGS	2007	1887340	99.8	1.9	39	122466	6	99.5	99
888820.3	Streptococcus sanguinis SK1056	Good	WGS	2325	2364566	99.5	1.8	12	440002	2	99.6	98.8
1739408.3	Streptococcus sp. HMSC072G04	Good	WGS	2235	2235189	98.8	1.7	50	166048	5	99.1	98.9
862969.3	Streptococcus constellatus subsp. pharyngis C1050	Good	Complete	2055	1991156	97.9	1.5	1	1991156	1	99.5	98.5
59310.6	Streptococcus macedonicus ACA-DC 198	Good	Complete	2178	2130034	99	1.7	1	2130034	1	99.2	98.4
102684.34	Streptococcus infantarius strain NCTC13760	Good	WGS	2003	1974692	99.8	1.9	2	1965051	1	99.1	98.4
1739341.3	Streptococcus sp. HMSC071D03	Good	WGS	2183	2120682	99.8	0.7	142	48644	16	99.8	99.4
119224.3	Streptococcus phocae strain ATCC 51973	Good	WGS	1787	1700082	97.6	0.2	91	63803	8	99.3	99.1
1739437.3	Streptococcus sp. HMSC066F10	Good	WGS	2034	1926242	98.6	0.4	58	129799	6	99.6	99.1
1302.125	Streptococcus gordonii strain FDAARGOS_371	Good	Complete	2089	2121309	99.5	0.7	1	2121309	1	99.9	99.6
1161421.3	Streptococcus oralis SK304	Good	WGS	1977	2020585	99.8	0.7	25	406364	2	99.6	99.3
1315308.3	Streptococcus pneumoniae MNZ14	Good	WGS	2213	2131549	98.8	0.5	79	51522	13	99.5	99.3
1313.5265	Streptococcus pneumoniae ECC_1910	Good	WGS	2111	2103444	99.2	0.5	308	14025	41	99.2	98.9
1579342.3	Streptococcus sp. 343_SSPC	Good	WGS	1942	2028369	98	0.2	29	95936	7	98.8	98.6
1305.147	Streptococcus sanguinis strain NCTC7863	Good	Complete	2248	2296927	99.5	0.7	1	2296927	1	99.8	99.5
1074137.3	Streptococcus mutans TCI-169	Good	WGS	1866	1927770	100	0.7	59	86930	10	99.3	99
857101.3	Streptococcus mutans R221	Good	WGS	1931	1983724	100	0.7	109	44915	15	99.6	99
1318.16	Streptococcus parasanguinis strain 318_SPAR	Good	WGS	2028	2092032	99	0.5	109	34335	22	99.2	99
1302.15	Streptococcus gordonii strain G9B	Good	WGS	2149	2197447	99.3	0.7	2	1555780	1	99.9	99.6
1302.169	Streptococcus gordonii strain NCTC3165	Good	Complete	2130	2154796	99.3	0.7	1	2154796	1	99.9	99.6
1353243.3	Streptococcus anginosus subsp. whileyi MAS624	Good	Complete	2163	2122284	97.9	0.3	1	2122284	1	99.5	99
1074124.3	Streptococcus mutans TCI-146	Good	WGS	1709	1785489	100	0.7	143	30114	18	99.4	98.9
1739380.3	Streptococcus sp. HMSC073A12	Good	WGS	2153	1967326	98.6	0.4	51	165107	5	99.4	98.8
1311.185	Streptococcus agalactiae strain SH2515	Good	WGS	2187	2124389	100	0.9	25	148148	6	99.9	99.7
1302.27	Streptococcus gordonii strain MW10	Good	WGS	2146	2186113	99.5	0.8	27	247835	3	100	99.7
1313.6799	Streptococcus pneumoniae	Good	WGS	2194	2071732	100	0.6	54	68411	11	99.5	98.3
1313.6224	Streptococcus pneumoniae strain 0375	Good	WGS	2225	2125828	100	0.8	62	61547	11	99.6	99.2
1313.6786	Streptococcus pneumoniae strain 0379	Good	WGS	2231	2123747	100	0.8	69	56350	11	99.6	99.2
1303.90	Streptococcus oralis strain CCUG 62648	Good	WGS	1969	1948865	99.8	0.8	36	284981	3	99.8	99.3
1307.1827	Streptococcus suis strain 2215	Good	WGS	2369	2282977	100	0.8	125	112525	8	99.5	99.1
1313.15902	Streptococcus pneumoniae strain NCTC11902	Good	Complete	2164	2093242	100	0.8	1	2093242	1	99.6	99.1
862971.3	Streptococcus anginosus C238	Good	Complete	2245	2233640	97.9	0.3	1	2233640	1	99.3	98.7
1244095.3	Streptococcus agalactiae SGBS010	Good	WGS	2054	2066791	100	0.9	26	120163	5	99.6	99.5
1311.267	Streptococcus agalactiae strain DE-NI-003	Good	WGS	2185	2133472	100	0.9	23	167396	5	99.7	99.5
1313.5270	Streptococcus pneumoniae ECC_3452	Good	WGS	2193	2132262	99.5	0.7	178	25588	24	99.4	99
1313.5773	Streptococcus pneumoniae strain 208_15	Good	WGS	2239	2133453	100	0.8	62	68709	10	99.6	99
1307.1829	Streptococcus suis strain 2214	Good	WGS	2118	2200516	100	0.8	58	118898	7	99.5	99
1307.1903	Streptococcus suis strain 939	Good	WGS	2221	2260988	100	0.8	119	82909	8	99.5	99
1307.1895	Streptococcus suis strain 1008	Good	WGS	2572	2503958	100	0.8	199	39546	21	99.5	99
1307.1899	Streptococcus suis strain 963	Good	WGS	2512	2488071	100	0.8	146	40618	20	99.5	99
1307.1857	Streptococcus suis strain 1367	Good	WGS	2604	2532788	100	0.8	178	64922	13	99.5	99
888819.3	Streptococcus sanguinis SK678	Good	WGS	2211	2288661	99.2	0.7	10	635175	2	99.3	99.2
1313.6220	Streptococcus pneumoniae strain 0273	Good	WGS	2260	2148845	99.5	0.7	95	41284	17	99.3	98.9
257758.33	Streptococcus pseudopneumoniae strain 469_SPSE	Good	WGS	2068	2094752	99.8	0.8	44	111204	8	99.6	99
1608868.3	Streptococcus sp. HMSC36C04	Good	WGS	1883	1854976	98.3	0.5	49	117916	6	99.6	99
315405.13	Streptococcus gallolyticus strain VTM3R42	Good	WGS	2141	2176773	99.3	0.7	14	514036	2	99.4	99
1313.6789	Streptococcus pneumoniae strain 0206	Good	WGS	2234	2122391	100	0.9	64	55599	12	99.6	99.2
216495.15	Streptococcus agalactiae serogroup III strain GZ13	Good	WGS	2053	2050657	100	0.9	47	98566	6	99.7	99.2
1313.5867	Streptococcus pneumoniae strain 0381	Good	WGS	2235	2126494	100	0.9	65	70671	9	99.6	99.2
1307.1979	Streptococcus suis strain 649	Good	WGS	2662	2551865	100	0.8	239	48593	15	99.5	98.7
1035187.4	Streptococcus mitis SK569	Good	WGS	1817	1975266	99.8	0.9	54	96098	8	99.7	99.3
1335.19	Streptococcus equinus strain pGA-7	Good	WGS	1728	1797051	99	0.7	6	970426	1	99.7	99.1
469609.3	Streptococcus sp. 2_1_36FAA	Good	WGS	2138	2229964	99.3	0.9	10	571440	2	99.9	99.7
1304.174	Streptococcus salivarius strain UC3162	Good	WGS	1978	2164807	99.5	0.9	23	116758	5	99.9	99.5
1313.5282	Streptococcus pneumoniae NT_110_58	Good	Complete	2325	2287774	99.5	0.8	1	2287774	1	99.4	99
1335.16	Streptococcus equinus strain MPR2	Good	WGS	1801	1863305	99	0.7	22	155097	4	99.5	99
1303.70	Streptococcus oralis strain 1314_SORA	Good	WGS	1931	1982721	99.8	0.9	99	64863	10	99.7	99.1
1328.20	Streptococcus anginosus strain J4211	Good	Complete	1963	1924513	97.9	0.5	1	1924513	1	99.6	99
1313.6542	Streptococcus pneumoniae strain R34-3088	Good	WGS	2348	2148445	99.5	0.8	211	40190	15	99.3	98.9
1318.18	Streptococcus parasanguinis strain 349_SPAR	Good	WGS	2016	2131313	99	0.7	54	67081	11	99.1	98.9
1579341.3	Streptococcus sp. 400_SSPC	Good	WGS	1945	1946641	98.1	0.5	77	42844	14	99.2	98.8
257758.28	Streptococcus pseudopneumoniae strain 289_SPSE	Good	WGS	2116	2123014	100	1	86	70774	10	99.9	99.3
257758.31	Streptococcus pseudopneumoniae strain 380_SPSE	Good	WGS	2142	2112393	100	1	138	40263	14	99.9	99.3
1739422.3	Streptococcus sp. HMSC065C01	Good	WGS	2186	2189987	99	0.7	51	204204	4	99.2	98.8
1338.41	Streptococcus intermedius strain LAU_SINT	Good	WGS	1957	1949554	97.4	0.5	31	1178240	1	99.7	99.3
1318.21	Streptococcus parasanguinis strain 766_SPAR	Good	WGS	2150	2226853	98.8	0.7	173	28490	26	99.2	98.9
1349.243	Streptococcus uberis strain NCTC3858	Good	Complete	1947	1975601	99.3	0.8	1	1975601	1	99.5	98.9
888810.3	Streptococcus sanguinis SK115	Good	WGS	2252	2335382	99.5	0.9	14	312627	2	99.3	99.1
76860.4	Streptococcus constellatus KCOM 1650	Good	WGS	1958	1965746	97.6	0.5	5	1225689	1	99.4	98.9
1123309.3	Streptococcus minor DSM 17118	Good	WGS	1900	1927889	96.6	0.2	33	218829	2	98.6	98.4
1313.5697	Streptococcus pneumoniae strain 0376	Good	WGS	2240	2128383	99.4	0.9	118	48863	14	99.5	99
1335.21	Streptococcus equinus strain Sb04	Good	WGS	1844	1875611	99.5	0.9	21	489279	2	99.5	98.8
