genome.genome_id	genome.additional_metadata	genome.altitude	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence	genome.assembly_accession	genome.assembly_method	genome.bioproject_accession	genome.biosample_accession	genome.biovar	genome.body_sample_site	genome.body_sample_subsite	genome.cds	genome.cds_ratio	genome.cell_shape	genome.checkm_completeness	genome.checkm_contamination	genome.chromosomes	genome.class	genome.coarse_consistency	genome.collection_date	genome.collection_year	genome.common_name	genome.completion_date	genome.contig_l50	genome.contig_n50	genome.contigs	genome.core_families	genome.core_family_ratio	genome.culture_collection	genome.date_inserted	genome.date_modified	genome.depth	genome.disease	genome.family	genome.fine_consistency	genome.gc_content	genome.genbank_accessions	genome.genome_id	genome.genome_length	genome.genome_name	genome.genome_quality	genome.genome_quality_flags	genome.genome_status	genome.genus	genome.geographic_location	genome.gram_stain	genome.habitat	genome.host_age	genome.host_gender	genome.host_health	genome.host_name	genome.hypothetical_cds	genome.hypothetical_cds_ratio	genome.isolation_comments	genome.isolation_country	genome.isolation_site	genome.isolation_source	genome.kingdom	genome.latitude	genome.longitude	genome.missing_core_family_ids	genome.mlst	genome.motility	genome.ncbi_project_id	genome.nearest_genomes	genome.optimal_temperature	genome.order	genome.organism_name	genome.other_clinical	genome.other_environmental	genome.other_typing	genome.outgroup_genomes	genome.owner	genome.oxygen_requirement	genome.p2_genome_id	genome.partial_cds	genome.partial_cds_ratio	genome.pathovar	genome.patric_cds	genome.phylum	genome.plasmids	genome.plfam_cds	genome.plfam_cds_ratio	genome.public	genome.publication	genome.reference_genome	genome.refseq_accessions	genome.refseq_cds	genome.refseq_project_id	genome.rrna	genome.salinity	genome.sequencing_centers	genome.sequencing_depth	genome.sequencing_platform	genome.sequencing_status	genome.serovar	genome.species	genome.sporulation	genome.sra_accession	genome.strain	genome.taxon_id	genome.taxon_lineage_ids	genome.taxon_lineage_names	genome.taxonomy	genome.temperature_range	genome.text	genome.trna	genome.type_strain	genome.user_read	genome.user_write
1365.4	sample_type:whole organism				GCA_002441715.1	SOAPdenovo v. 2	PRJNA270383	SAMN03267153				1910	0.96		100	0		Bacilli	97.6			Lactococcus_plantarum	2017-10-04T00:00:00Z	6	162283	43				2017-11-23T02:49:30.429Z	2017-11-23T02:49:30.429Z			Streptococcaceae	96.9	36.76	JXJX01000000	1365.4	1989201	Lactococcus plantarum strain DSM 20686	Good		WGS	Lactococcus								670	0.35				frozen peas	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		1910	Firmicutes		1910	1	1				1843		3		Inner Mongolia Agricultural University	100x	Illumina MiSeq; Illumina HiSeq			Lactococcus plantarum			DSM 20686	1365	131567::2::1783272::1239::91061::186826::1300::1357::1365	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus plantarum	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus plantarum			30			
1360.386					GCA_900291895.1		PRJEB23772	SAMEA104606056				2784	1.08		100	0.5		Bacilli	99.7			Lactococcus_lactis_subsp_lactis	2018-02-24T00:00:00Z	12	67193	78				2018-05-30T10:00:17.417Z	2018-05-30T10:00:17.417Z			Streptococcaceae	99.1	35.07232	OLME01000000	1360.386	2575082	Lactococcus lactis subsp. lactis strain CF111	Good		WGS	Lactococcus								824	0.3					Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2784	Firmicutes		2784	1	1						8		Alexander					Lactococcus lactis subsp. lactis			CF111	1360	131567::2::1783272::1239::91061::186826::1300::1357::1358::1360	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. lactis	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis			56			
1358.383					GCA_900240965.1		PRJEB23772	SAMEA104417305				2757	1.1		100	0.5		Bacilli	99.7			Lactococcus_lactis	2017-12-20T00:00:00Z	35	20053	231				2018-05-28T12:14:57.520Z	2018-05-28T12:14:57.520Z			Streptococcaceae	99	35.126778	OESK01000000	1358.383	2516173	Lactococcus lactis strain CF104	Good		WGS	Lactococcus								833	0.3					Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2757	Firmicutes		2752	1	1						8		Alexander					Lactococcus lactis			CF104	1358	131567::2::1783272::1239::91061::186826::1300::1357::1358	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis			57			
297352.8					GCF_000981525.1		PRJEB8222	SAMEA3208644				2526	1.01		100	0	1	Bacilli	97.8			Lactococcus_piscium_MKFS47	2015-04-02T00:00:00Z	1	2394138	3				2016-01-17T15:55:26.888Z	2016-01-17T15:55:26.888Z			Streptococcaceae	96.5	38.58	LN774769,LN774770,LN774771	297352.8	2503066	Lactococcus piscium MKFS47	Good		Complete	Lactococcus	Finland							1033	0.41	isolated from the cold-stored modified atmosphere packaged broiler filet strips with the first signs of spoilage	Finland		cold-stored modified atmosphere packaged broiler filet strips with the first signs of spoilage	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2526	Firmicutes	2	2526	1	1		Representative	NZ_LN774769.1,NZ_LN774770.1,NZ_LN774771.1	2419		13		UNIVERSITY OF HELSINKI					Lactococcus piscium			MKFS47	297352	131567::2::1783272::1239::91061::186826::1300::1357::1364::297352	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus piscium::Lactococcus piscium MKFS47	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus piscium; Lactococcus piscium MKFS47			56			
1091040.5					GCA_000236515.2		PRJNA73569	SAMN02471887				1978	0.98		100	0	0	Bacilli	98.4	2001	2001	Lactococcus_garvieae_TB25	2011-12-01T00:00:00Z	12	60979	92			 	2014-12-08T22:11:55.138Z	2015-03-16T03:17:09.594Z			Streptococcaceae	97.9	38.1	AGQX00000000	1091040.5	2014328	Lactococcus garvieae TB25	Good		WGS	Lactococcus	Italy							623	0.31		Italy		cheese	Bacteria						73569			Lactobacillales	Lactococcus garvieae TB25					PATRIC		224320	0	0		1978	Firmicutes	0	1963	0.99	1	22328751		-	0		3		University of Milan, Department of Food Science and Microbiology			WGS		Lactococcus garvieae				1091040	131567::2::1783272::1239::91061::186826::1300::1357::1363::1091040	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus garvieae::Lactococcus garvieae TB25	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus garvieae; Lactococcus garvieae TB25			37			
1231377.3					GCA_000300795.1	CLC Genomics Workbench v. 5.5	PRJNA174841	SAMN02470721				2251	1	Cocci	100	0	0	Bacilli	98.5			Lactococcus_garvieae_DCC43	2012-10-01T00:00:00Z	9	75751	68			 	2014-12-08T22:11:55.092Z	2015-03-16T03:17:09.594Z			Streptococcaceae	97.8	37.85	AMQS00000000	1231377.3	2244387	Lactococcus garvieae DCC43	Good		WGS	Lactococcus		Positive			male		Duck, Anas platyrhynchos	905	0.4	mallard duck intestines (Anas platyrhynchos)			duck intestines	Bacteria						174841			Lactobacillales	Lactococcus garvieae DCC43					PATRIC		253365	0	0		2251	Firmicutes	0	2251	1	1	23209230		-	2227	180947	4		Norwegian University of Life Sciences	500.0x	Illumina HiSeq	WGS		Lactococcus garvieae			DCC43	1231377	131567::2::1783272::1239::91061::186826::1300::1357::1363::1231377	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus garvieae::Lactococcus garvieae DCC43	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus garvieae; Lactococcus garvieae DCC43			50			
1223498.3					GCA_000739975.1	newbler v. 2.6	PRJDB424	SAMD00000361				2007	0.99		100	0		Bacilli	98			Lactococcus_garvieae_NBRC_100934	2014-08-02T00:00:00Z	9	76549	56				2014-12-09T00:45:07.597Z	2015-03-16T03:17:09.594Z			Streptococcaceae	97.6	38.5	BBJW00000000	1223498.3	2028352	Lactococcus garvieae NBRC 100934	Good		WGS	Lactococcus		Positive						677	0.34					Bacteria					No				Lactobacillales						PATRIC	Facultative		0	0		2007	Firmicutes		2007	1	1	-		-	0		4		National Institute of Technology and Evaluation	308x	454 GS-FLX Titanium; Illumina HiSeq			Lactococcus garvieae	No		NBRC 100934	1223498	131567::2::1783272::1239::91061::186826::1300::1357::1363::1223498	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus garvieae::Lactococcus garvieae NBRC 100934	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus garvieae; Lactococcus garvieae NBRC 100934	Mesophilic		47			
1359.33	sample_type:cell culture				GCF_001622215.1	IDBA-UD v. 1.1.1	PRJNA286840	SAMN03770943				2668	1.11		100	0.3		Bacilli	99.6	2014	2014	Lactococcus_lactis_subsp_cremoris	2016-04-18T00:00:00Z	42	17644	311				2016-04-28T12:55:19.556Z	2016-04-28T12:55:19.556Z			Streptococcaceae	98.7	35.48	LIYE00000000	1359.33	2393955	Lactococcus lactis subsp. cremoris strain HP	Good		WGS	Lactococcus	Netherlands							897	0.34		Netherlands		Dairy starter	Bacteria								C	Lactobacillales						PATRIC@patricbrc.org			0	0		2673	Firmicutes		2663	1	1				2548		5		Radboudumc	50.0x	Illumina HiSeq			Lactococcus lactis subsp. cremoris			HP	1359	131567::2::1783272::1239::91061::186826::1300::1357::1358::1359	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. cremoris	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris			55			
1359.38	sample_type:cell culture				GCA_001622305.1	IDBA-UD v. 1.1.1	PRJNA286840	SAMN03770951				2017	1.01		98.3	0		Bacilli	99.1	2014	2014	Lactococcus_lactis_subsp_cremoris	2016-04-18T00:00:00Z	6	132185	29				2016-04-28T13:12:09.984Z	2016-04-28T13:12:09.984Z			Streptococcaceae	98.8	38.57	LITB00000000	1359.38	2000149	Lactococcus lactis subsp. cremoris strain P7266	Good		WGS	Lactococcus	Netherlands							624	0.31		Netherlands		Litter on pastures	Bacteria								C	Lactobacillales						PATRIC@patricbrc.org			0	0		2019	Firmicutes		2017	1	1				1984		4		Radboudumc	50.0x	Illumina HiSeq			Lactococcus lactis subsp. cremoris			P7266	1359	131567::2::1783272::1239::91061::186826::1300::1357::1358::1359	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. cremoris	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris			55			
1359.39	sample_type:cell culture				GCF_001622315.1	IDBA-UD v. 1.1.1	PRJNA286840	SAMN03770941				2792	1.12		100	0		Bacilli	99.7	2014-09	2014	Lactococcus_lactis_subsp_cremoris	2016-04-18T00:00:00Z	35	23635	332				2016-04-28T12:49:27.848Z	2016-04-28T12:49:27.848Z			Streptococcaceae	98.8	35.44	LITC00000000	1359.39	2498465	Lactococcus lactis subsp. cremoris strain B40	Good		WGS	Lactococcus	Netherlands							946	0.34		Netherlands		Dairy starter	Bacteria								C	Lactobacillales						PATRIC@patricbrc.org			0	0		2795	Firmicutes		2790	1	1				2634		5		Radboudumc	50.0x	Illumina HiSeq			Lactococcus lactis subsp. cremoris			B40	1359	131567::2::1783272::1239::91061::186826::1300::1357::1358::1359	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. cremoris	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris			57			
1359.69	biomaterial_provider:Prof Douwe van Sinderen, School of Microbiology, University College Cork, Western Road, Cork, Ireland::sample_type:Single cell::collected_by:University College Cork					SMRT v. 2.3.9	PRJNA320692	SAMN04955245				2847	1.08		100	0	1	Bacilli	99.6	2012	2012	Lactococcus_lactis_subsp_cremoris	2017-04-04T00:00:00Z	1	2453581	6				2017-05-28T07:27:34.839Z	2017-05-28T07:27:34.839Z			Streptococcaceae	98.8	35.78	CP015901,CP016737,CP016738,CP016739,CP016740,CP016741	1359.69	2639112	Lactococcus lactis subsp. cremoris strain JM3	Good		Complete	Lactococcus	Ireland							905	0.32		Ireland		Dairy fermentation	Bacteria									Lactobacillales						PATRIC@patricbrc.org			0	0		2847	Firmicutes	5	2847	1	1	28356072			2616		19		University College Cork	72.01	PacBio RS			Lactococcus lactis subsp. cremoris			JM3	1359	131567::2::1783272::1239::91061::186826::1300::1357::1358::1359	cellular organisms::Bacteria::Terrabacteria group::Firmicutes::Bacilli::Lactobacillales::Streptococcaceae::Lactococcus::Lactococcus lactis::Lactococcus lactis subsp. cremoris	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. cremoris			62			
