DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Genomesizes
streptococcus_07830,2039661
streptococcus_00085,2224000
streptococcus_11849,2009598
streptococcus_11898,1039311
streptococcus_00091,1862188
streptococcus_07872,1897330
streptococcus_07904,1913462
streptococcus_09913,1831256
streptococcus_11944,2808579
streptococcus_07954,2260082
streptococcus_11907,2166519
streptococcus_11855,2075917
streptococcus_04001,2206539
streptococcus_00063,2190985
streptococcus_00088,2275471
streptococcus_11900,1819130
streptococcus_00073,2358342
streptococcus_00167,1927889
streptococcus_00010,2460376
streptococcus_11872,1548621
streptococcus_00563,2458463
streptococcus_04630,2210287
streptococcus_06016,2075229
streptococcus_07833,2143253
streptococcus_11960,1881656
streptococcus_02148,2374041
streptococcus_11865,2425255
streptococcus_11918,2322791
streptococcus_11832,1716726
floricoccus_00001,2049722
lactococcus_00181,2240135
lactococcus_00187,2075869
lactococcus_00188,2563666
lactococcus_00186,2273230
lactococcus_00092,2344093
lactococcus_00020,2634132
lactococcus_00059,2245404
lactococcus_00173,2473496
lactococcus_00017,2000149
lactococcus_00184,2696018
lactococcus_00183,2758410
